pair_name,difference_vector,first_caption,second_caption
1_I.jpg,[0 0 2 0 0 -3 0],These subjects differ in spots .,The spots are not the same .
2_I.jpg,[-2 -1 2 -1 0 -1 0],The subjects have different iris colors .,Obviously <COMMA> the iris colors are not equal .
3_I.jpg,[3 0 1 0 0 0 0],The iris colors and eyebrow shapes are not the same .,There are differences in the iris colors .
4_I.jpg,[0 2 3 0 -2 0 -1],These subjects differ in eyelid shapes and eyebrow shapes .,The eyelids and eyebrows are so different .
5_I.jpg,[-3 -1 0 0 0 -3 0],The iris colors are undeniably different .,These subjects do not have the same iris colors .
6_I.jpg,[0 1 -1 1 0 -1 -1],It would appear that the eyelid shapes are disparate .,These eyelids are totally different .
7_I.jpg,[-4 0 1 0 2 0 0],It is clear that the irises are different .,The iris colors are extremely different .
8_I.jpg,[1 -1 0 0 2 0 0],The eyelid shapes do not match .,These subjects do not share eyelid shapes .
9_I.jpg,[-3 1 -1 0 2 0 0],The irises are different <COMMA> like the skin textures .,There are obvious differences in the iris colors .
10_I.jpg,[-1 -2 0 -1 1 0 -1],These eyelids do not match .,The eyelids have different shapes .
11_I.jpg,[0 -2 1 1 2 0 0],The eyebrows have totally distinct distributions .,Both subjects have distinct eyebrows .
12_I.jpg,[3 1 0 0 0 0 0],The iris colors are so unlike each other .,The iris colors and eyebrow distributions are different .
13_I.jpg,[0 3 1 1 -2 1 1],The eyebrows have nothing in common .,These eyelids are so different .
14_I.jpg,[5 1 0 1 -2 3 0],These iris colors are positively different .,The eyebrows and irises are completely different .
15_I.jpg,[0 1 1 0 0 -1 0],These eyebrows have many differences .,The eyebrows have different distributions .
16_I.jpg,[1 0 0 -1 0 3 0],The spots differ immensely .,The eyebrows and spots are not the same .
17_I.jpg,[5 1 0 0 0 0 0],The iris colors are completely different .,These subjects do not share the same iris colors .
18_I.jpg,[-6 0 -1 0 0 0 0],It would appear that the iris colors are not the same .,Objectively speaking <COMMA> the two subjects differ in terms of iris colors .
19_I.jpg,[0 0 3 2 2 -3 0],These people have dissimilar eyebrows .,Objectively speaking <COMMA> the skins from these subjects have different colors .
